Time(s),Cart Position(m),Cart Velocity(m/s),Hook Angle(deg),Hook Angle Rate(deg/s),Payload Angle(deg),Payload Angle Rate(deg/s),Force(N),Cart Acceleration(m/s^2),,
0,0,0,-0.124968,-1.32429,-0.187095,-1.91071,0,0,-7.69E-13,9.06508
0.009,0,0,-0.1264,-1.26948,-0.192515,-1.89079,0,0,0.566567,-7.36537
0.019,0,0,-0.127627,-1.21297,-0.197832,-1.87366,0,0,3.3994,1.6997
0.031,0,0,-0.128701,-1.16176,-0.202792,-1.85809,0,0,0.845168,5.07101
0.04,0,0,-0.129621,-1.10714,-0.207445,-1.8395,0,0,1.39137,2.31894
0.051,0,0,-0.130337,-1.0458,-0.211843,-1.81468,0,0,2.55663,2.04531
0.059,0,0,-0.131002,-0.985157,-0.21624,-1.79333,0,0,-1.13313,-2.83284
0.069,0,0,-0.131616,-0.926435,-0.220126,-1.77442,0,0,0.631268,12.6254
0.081,0,0,-0.132178,-0.875844,-0.223348,-1.74986,0,0,0.422584,6.76135
0.09,0,0,-0.132587,-0.822764,-0.226109,-1.7178,0,0,2.31894,2.31894
0.101,0,0,-0.132843,-0.766858,-0.228307,-1.67886,0,0,1.53398,6.64725
0.109,0,0,-0.132843,-0.708729,-0.230046,-1.63418,0,0,3.96597,3.96597
0.119,0,0,-0.132792,-0.648885,-0.231018,-1.58229,0,0,-1.8938,13.2566
0.132,0,0,-0.132689,-0.602043,-0.231171,-1.53036,0,0,0.386637,6.57282
0.139,0,0,-0.132383,-0.552846,-0.230762,-1.46675,0,0,3.57929,3.06796
0.151,0,0,-0.131871,-0.50057,-0.229637,-1.39296,0,0,2.26627,9.63164
0.16,0,0,-0.131155,-0.446682,-0.227643,-1.30851,0,0,1.85515,9.27577
0.17,0,0,-0.130337,-0.39074,-0.224882,-1.20857,0,0,-3.08E-13,7.36537
0.179,0,0,-0.129468,-0.34585,-0.221762,-1.11565,0,0,9.23E-13,-0.566567
0.189,0,0,-0.128548,-0.301586,-0.218285,-1.01663,0,0,0.566567,3.96597
0.201,0,0,-0.127474,-0.257108,-0.214144,-0.913179,0,0,2.11292,8.0291
0.21,0,0,-0.126195,-0.210679,-0.209491,-0.797876,0,0,2.31894,3.24652
0.22,0,0,-0.12461,-0.161605,-0.204531,-0.670463,0,0,4.53254,1.13313
0.229,0,0,-0.122821,-0.119977,-0.199213,-0.555427,0,0,1.13313,4.53254
0.239,0,0,-0.121031,-0.0803008,-0.19364,-0.434814,0,0,-2.26627,1.6997
0.251,0,0,-0.119037,-0.041413,-0.187606,-0.313234,0,0,3.38067,5.4936
0.26,0,0,-0.116838,-0.00177131,-0.181317,-0.19289,0,0,1.85515,0.463789
0.27,0,0,-0.114384,0.0391348,-0.174618,-0.0702615,0,0,3.3994,6.23224
0.279,0,0,-0.111623,0.07799,-0.16746,0.0448604,0,0,3.96597,5.66567
0.289,0,0,-0.108759,0.117328,-0.159994,0.16121,0,0,-1.13313,1.6997
0.301,0,0,-0.105691,0.153562,-0.152222,0.269053,0,0,2.53551,2.53551
0.31,0,0,-0.102368,0.192101,-0.144245,0.378576,0,0,2.78273,0.927577
0.32,0,0,-0.0987372,0.234622,-0.13586,0.497976,0,0,3.96597,6.79881
0.329,0,0,-0.0947489,0.27718,-0.127116,0.612641,0,0,4.53254,3.3994
0.339,0,0,-0.0905049,0.321687,-0.118065,0.728918,0,0,1.6997,2.83284
0.351,0,0,-0.0860563,0.361547,-0.108964,0.835165,0,0,1.26775,-1.69034
0.36,0,0,-0.0814544,0.40356,-0.0999133,0.945363,0,0,0.927577,-1.39137
0.37,0,0,-0.0765456,0.451588,-0.0910673,1.06146,0,0,5.09911,-3.96597
0.379,0,0,-0.071279,0.501407,-0.0823236,1.16381,0,0,4.53254,-4.61E-13
0.389,0,0,-0.0658078,0.552963,-0.0735288,1.26291,0,0,0.566567,2.26627
0.401,0,0,-0.0600809,0.59827,-0.0649897,1.34789,0,0,2.53551,-4.64843
0.41,0,0,-0.0544052,0.644511,-0.0569107,1.42894,0,0,-3.24652,-6.02925
0.42,0,0,-0.0485249,0.694527,-0.0492919,1.50756,0,0,5.09911,-5.09911
0.429,0,0,-0.042389,0.747146,-0.0419288,1.57461,0,0,3.3994,-0.566567
0.455,0,0,-0.0359974,0.775379,-0.0345657,1.60653,0,0,0.834819,0.834819
0.459,0,0,-0.0293502,0.807897,-0.0274583,1.63824,0,0,1.13628,-2.27256
0.47,0,0,-0.0226006,0.877649,-0.0207087,1.70006,0,0,-0.909026,-8.18123
0.48,0,0,-0.0157489,0.924689,-0.0136524,1.73146,0,0,0.927577,8.81198
0.489,0,0,-0.00874369,0.978154,-0.00634045,1.7678,0,0,2.26627,2.26627
0.501,0,0,-0.00158511,1.02674,0.00076699,1.79539,0,0,1.39137,-6.02925
0.51,0,0,0.00557346,1.07605,0.00761877,1.82035,0,0,-1.39137,-2.78273
0.52,0,0,0.0127832,1.12938,0.0149307,1.84606,0,0,1.13313,13.031
0.53,0,0,0.0197884,1.17533,0.0225495,1.86597,0,0,-4.60194,1.53398
0.54,0,0,0.0267424,1.21759,0.0299126,1.88276,0,0,1.02265,-8.18123
0.551,0,0,0.0338498,1.25738,0.0372246,1.89193,0,0,3.24652,1.39137
0.559,0,0,0.0409062,1.30523,0.0445877,1.91155,0,0,-2.83284,1.6997
0.57,0,0,0.0478091,1.34911,0.0521553,1.92747,0,0,-2.83284,3.96597
